IID	group
HG00265	EUR
HG00266	EUR
HG00267	EUR
HG00268	EUR
HG00269	EUR
HG00270	EUR
HG00271	EUR
HG00272	EUR
HG00274	EUR
HG00275	EUR
HG00276	EUR
HG00277	EUR
HG00278	EUR
HG00280	EUR
HG00281	EUR
HG00282	EUR
HG00284	EUR
HG00285	EUR
HG00286	EUR
HG00288	EUR
HG00290	EUR
HG00303	EUR
HG00304	EUR
HG00305	EUR
HG00306	EUR
HG00308	EUR
HG00309	EUR
HG00310	EUR
HG00311	EUR
HG00312	EUR
HG00313	EUR
HG00315	EUR
HG00319	EUR
HG00320	EUR
HG00321	EUR
HG00322	EUR
HG00323	EUR
HG00324	EUR
HG00325	EUR
HG00326	EUR
HG00327	EUR
HG00328	EUR
HG00329	EUR
HG00330	EUR
HG00331	EUR
HG00332	EUR
HG00334	EUR
HG00335	EUR
HG00336	EUR
HG00337	EUR
HG00338	EUR
HG00339	EUR
HG00341	EUR
HG00342	EUR
HG00343	EUR
HG00344	EUR
HG00345	EUR
HG00346	EUR
HG00349	EUR
HG00350	EUR
HG00351	EUR
HG00353	EUR
HG00355	EUR
HG00356	EUR
HG00357	EUR
HG00358	EUR
HG00359	EUR
HG00360	EUR
HG00361	EUR
HG00362	EUR
HG00364	EUR
HG00366	EUR
HG00367	EUR
HG00368	EUR
HG00369	EUR
HG00371	EUR
HG00372	EUR
HG00373	EUR
HG00374	EUR
HG00375	EUR
HG00376	EUR
HG00377	EUR
HG00378	EUR
HG00379	EUR
HG00380	EUR
HG00381	EUR
HG00382	EUR
HG00383	EUR
HG00384	EUR
HG00385	EUR
HG00386	EUR
HG00387	EUR
HG00388	EUR
HG00389	EUR
HG00390	EUR
HG00391	EUR
HG00392	EUR
HG00393	EUR
HG00394	EUR
HG00395	EUR
HG00396	EUR
HG00397	EUR
HG00398	EUR
HG00399	EUR
HG00400	EUR
HG00401	EUR
HG00402	EUR
HG00403	EUR
HG00404	EUR
HG00405	EUR
HG00406	EUR
HG00407	EUR
HG00408	EUR
HG00409	EUR
HG00410	EUR
HG00411	EUR
HG00412	EUR
HG00413	EUR
HG00414	EUR
HG00415	EUR
HG00417	EUR
HG00418	EUR
HG00419	EUR
HG00420	EUR
HG00421	EUR
HG00422	EUR
HG00423	EUR
HG00424	EUR
HG00425	EUR
HG00426	EUR
HG00427	EUR
HG00428	EUR
HG00429	EUR
HG00430	EUR
HG00431	EUR
HG00432	EUR
HG00433	EUR
HG00436	EUR
HG00437	EUR
HG00438	EUR
HG00439	EUR
HG00440	EUR
HG00441	EUR
HG00442	EUR
HG00443	EUR
HG00444	EUR
HG00445	EUR
HG00446	EUR
HG00447	EUR
HG00448	EUR
HG00449	EUR
HG00450	EUR
HG00451	EUR
HG00452	EUR
HG00453	EUR
HG00454	EUR
HG00455	EUR
HG00456	EUR
HG00457	EUR
HG00458	EUR
HG00459	EUR
HG00460	EUR
HG00461	EUR
HG00463	EUR
HG00464	EUR
HG00465	EUR
HG00466	EUR
HG00467	EUR
HG00468	EUR
HG00469	EUR
HG00470	EUR
HG00471	EUR
HG00472	EUR
HG00473	EUR
HG00474	EUR
HG00475	EUR
HG00476	EUR
HG00477	EUR
HG00478	EUR
HG00479	EUR
HG00480	EUR
HG00481	EUR
HG00482	EUR
HG00483	EUR
HG00484	EUR
HG00485	EUR
HG00486	EUR
HG00487	EUR
HG00488	EUR
HG00489	EUR
HG00490	EUR
HG00491	EUR
HG00492	EUR
HG00493	EUR
HG00494	EUR
HG00495	EUR
HG00496	EUR
HG00497	EUR
HG00498	EUR
HG00499	EUR
HG00500	EUR
HG00501	EUR
HG00502	EUR
HG00503	EUR
HG00504	EUR
HG00505	EUR
HG00506	EUR
HG00507	EUR
HG00508	EUR
HG00509	EUR
HG00510	EUR
HG00511	EUR
HG01334	EUR
HG01789	EUR
HG01790	EUR
HG01791	EUR
HG01792	EUR
HG01793	EUR
HG01794	EUR
HG01795	EUR
HG01796	EUR
HG01797	EUR
HG01798	EUR
HG01799	EUR
HG01800	EUR
HG01801	EUR
HG01802	EUR
HG01803	EUR
HG01804	EUR
HG01805	EUR
HG01806	EUR
HG01807	EUR
HG01808	EUR
HG01809	EUR
HG01810	EUR
HG01811	EUR
HG01812	EUR
HG01813	EUR
HG01814	EUR
HG01815	EUR
HG01816	EUR
HG01817	EUR
HG01819	EUR
HG01820	EUR
HG01821	EUR
HG01822	EUR
HG01823	EUR
HG01824	EUR
HG01825	EUR
HG01826	EUR
HG01827	EUR
HG01828	EUR
HG01829	EUR
HG01830	EUR
HG01831	EUR
HG01832	EUR
HG01840	EUR
HG01841	EUR
HG01842	EUR
HG01843	EUR
HG01844	EUR
HG01846	EUR
HG01847	EUR
HG01848	EUR
HG01849	EUR
HG01850	EUR
HG01851	EUR
HG01852	EUR
HG01853	EUR
HG01855	EUR
HG01857	EUR
HG01858	EUR
HG01859	EUR
HG01860	EUR
HG01861	EUR
HG01862	EUR
HG01863	EUR
HG01864	EUR
HG01865	EUR
HG01866	EUR
HG01867	EUR
HG01868	EUR
HG01869	EUR
HG01870	EUR
HG01871	EUR
HG01872	EUR
HG01873	EUR
HG01874	EUR
HG01875	EUR
HG01876	EUR
HG01877	EUR
HG01878	EUR
HG01879	EUR
HG01880	EUR
HG01882	EUR
HG01883	EUR
HG01884	EUR
HG01885	EUR
HG01886	EUR
HG01887	EUR
HG01888	EUR
HG01889	EUR
HG01890	EUR
HG01891	EUR
HG01892	EUR
HG01893	EUR
HG01894	EUR
HG01895	EUR
HG01896	EUR
HG01897	EUR
HG01898	EUR
HG01899	EUR
HG01900	EUR
HG01901	EUR
HG01902	EUR
HG01903	EUR
HG01904	EUR
HG01905	EUR
HG01906	EUR
HG01909	EUR
HG01910	EUR
HG01911	EUR
HG01912	EUR
HG01914	EUR
HG01917	EUR
HG01918	EUR
HG01919	EUR
HG01920	EUR
HG01921	EUR
HG01923	EUR
HG01924	EUR
HG01925	EUR
HG01926	EUR
HG01927	EUR
HG01928	EUR
HG01930	EUR
HG01931	EUR
HG01932	EUR
HG01933	EUR
HG01934	EUR
HG01935	EUR
HG01938	EUR
HG01939	EUR
HG01940	EUR
HG01941	EUR
HG01942	EUR
HG01943	EUR
HG01944	EUR
HG01945	EUR
HG01946	EUR
HG01947	EUR
HG01948	EUR
HG01950	EUR
HG01951	EUR
HG01952	EUR
HG01953	EUR
HG01956	EUR
HG01957	EUR
HG01958	EUR
HG01959	EUR
HG01961	EUR
HG01962	EUR
HG01963	EUR
HG01965	EUR
HG01967	EUR
HG01968	EUR
HG01971	EUR
HG01972	EUR
HG01973	EUR
HG01974	EUR
HG01975	EUR
HG01976	EUR
HG01977	EUR
HG01978	EUR
HG01979	EUR
HG01980	EUR
HG01982	EUR
HG01983	EUR
HG01985	EUR
HG01986	EUR
HG01624	SAS
HG01625	SAS
HG01626	SAS
HG01628	SAS
HG01630	SAS
HG01631	SAS
HG01632	SAS
HG01633	SAS
HG01634	SAS
HG01635	SAS
HG01636	SAS
HG01638	SAS
HG01639	SAS
HG01640	SAS
HG01642	SAS
HG01643	SAS
HG01670	SAS
HG01672	SAS
HG01673	SAS
HG01675	SAS
HG01676	SAS
HG01678	SAS
HG01679	SAS
HG01680	SAS
HG01682	SAS
HG01684	SAS
HG01685	SAS
HG01686	SAS
HG01687	SAS
HG01688	SAS
HG01689	SAS
HG01694	SAS
HG01695	SAS
HG01697	SAS
HG01699	SAS
HG01700	SAS
HG01701	SAS
HG01702	SAS
HG01704	SAS
HG01705	SAS
HG01707	SAS
HG01708	SAS
HG01709	SAS
HG01710	SAS
HG01711	SAS
HG01712	SAS
HG01713	SAS
HG01714	SAS
HG01746	SAS
HG01747	SAS
HG01748	SAS
HG01749	SAS
HG01750	SAS
HG01751	SAS
HG01756	SAS
HG01757	SAS
HG01758	SAS
HG01761	SAS
HG01762	SAS
HG01763	SAS
HG01765	SAS
HG01766	SAS
HG01767	SAS
HG01768	SAS
HG01770	SAS
HG01771	SAS
HG01773	SAS
HG01775	SAS
HG01776	SAS
HG01777	SAS
HG01779	SAS
HG01781	SAS
HG01784	SAS
HG01785	SAS
HG01786	SAS
HG01788	SAS
HG02420	SAS
HG02421	SAS
HG02422	SAS
HG02423	SAS
HG02424	SAS
HG02425	SAS
HG02426	SAS
HG02427	SAS
HG02428	SAS
HG02429	SAS
HG02430	SAS
HG02431	SAS
HG02432	SAS
HG02433	SAS
HG02434	SAS
HG02435	SAS
HG02436	SAS
HG02437	SAS
HG02438	SAS
HG02439	SAS
HG02440	SAS
HG02441	SAS
HG02442	SAS
HG02443	SAS
HG02444	SAS
HG02445	SAS
HG02446	SAS
HG02447	SAS
HG02448	SAS
HG02449	SAS
HG02450	SAS
HG02451	SAS
HG02452	SAS
HG02453	SAS
HG02454	SAS
HG02455	SAS
HG02456	SAS
HG02457	SAS
HG02458	SAS
HG02459	SAS
HG02460	SAS
NA20502	SAS
NA20503	SAS
NA20504	SAS
NA20505	SAS
NA20506	SAS
NA20507	SAS
NA20508	SAS
NA20509	SAS
NA20510	SAS
NA20511	SAS
NA20512	SAS
NA20513	SAS
NA20514	SAS
NA20515	SAS
NA20516	SAS
NA20517	SAS
NA20518	SAS
NA20519	SAS
NA20520	SAS
NA20521	SAS
NA20522	SAS
NA20524	SAS
NA20525	SAS
NA20527	SAS
NA20528	SAS
NA20529	SAS
NA20530	SAS
NA20531	SAS
NA20532	SAS
NA20534	SAS
NA20535	SAS
NA20536	SAS
NA20537	SAS
NA20538	SAS
NA20539	SAS
NA20540	SAS
NA20541	SAS
NA20542	SAS
NA20543	SAS
NA20544	SAS
NA20545	SAS
NA20547	SAS
NA20549	SAS
NA20550	SAS
NA20581	SAS
NA20582	SAS
NA20585	SAS
NA20586	SAS
NA20587	SAS
NA20588	SAS
NA20589	SAS
NA20752	SAS
NA20753	SAS
NA20754	SAS
NA20755	SAS
NA20756	SAS
NA20757	SAS
NA20758	SAS
NA20759	SAS
NA20760	SAS
NA20761	SAS
NA20762	SAS
NA20763	SAS
NA20764	SAS
NA20765	SAS
NA20766	SAS
NA20767	SAS
NA20768	SAS
NA20769	SAS
NA20770	SAS
NA20771	SAS
NA20772	SAS
NA20773	SAS
NA20774	SAS
NA20775	SAS
NA20776	SAS
NA20778	SAS
NA20779	SAS
NA20780	SAS
NA20781	SAS
NA20783	SAS
NA20785	SAS
NA20786	SAS
NA20787	SAS
NA20788	SAS
NA20790	SAS
NA20792	SAS
NA20795	SAS
NA20796	SAS
NA20797	SAS
NA20798	SAS
NA20799	SAS
NA20800	SAS
NA20801	SAS
NA20802	SAS
NA20803	SAS
NA20804	SAS
NA20805	SAS
NA20806	SAS
NA20807	SAS
NA20808	SAS
NA20809	SAS
NA20810	SAS
NA20811	SAS
NA20812	SAS
NA20813	SAS
NA20814	SAS
NA20815	SAS
NA20816	SAS
NA20817	SAS
NA20818	SAS
NA20819	SAS
NA20821	SAS
NA20822	SAS
NA20826	SAS
NA20827	SAS
NA20828	SAS
NA20829	SAS
NA20830	SAS
NA20831	SAS
NA20832	SAS
NA20836	SAS
NA20838	SAS
NA20839	SAS
NA20840	SAS
NA20842	SAS
NA20844	SAS
NA20845	SAS
NA20846	SAS
NA20847	SAS
NA20848	SAS
NA20849	SAS
NA20850	SAS
NA20851	SAS
NA20852	SAS
NA20853	SAS
NA20854	SAS
NA20856	SAS
NA20858	SAS
NA20859	SAS
NA20861	SAS
NA20862	SAS
NA20863	SAS
NA20864	SAS
NA20866	SAS
NA20867	SAS
NA20868	SAS
NA20869	SAS
NA20870	SAS
NA20871	SAS
NA20872	SAS
NA20873	SAS
NA20874	SAS
NA20875	SAS
NA20876	SAS
NA20877	SAS
NA20878	SAS
NA20879	SAS
NA20881	SAS
NA20882	SAS
NA20884	SAS
NA20885	SAS
NA20886	SAS
NA20887	SAS
NA20888	SAS
NA20889	SAS
NA20890	SAS
NA20891	SAS
NA20892	SAS
NA20893	SAS
NA20894	SAS
NA20895	SAS
NA20896	SAS
NA20897	SAS
NA20898	SAS
NA20899	SAS
NA20900	SAS
NA20901	SAS
NA20902	SAS
NA20903	SAS
NA20904	SAS
NA20905	SAS
NA20906	SAS
NA20907	SAS
NA20908	SAS
NA20911	SAS
NA20912	SAS
NA20914	SAS
NA20916	SAS
NA20917	SAS
NA20919	SAS
NA20920	SAS
NA20921	SAS
NA20922	SAS
NA20928	SAS
NA21088	SAS
NA21092	SAS
NA21093	SAS
NA21094	SAS
NA21099	SAS
NA21102	SAS
NA21105	SAS
NA21107	SAS
NA21108	SAS
NA21109	SAS
NA21110	SAS
NA21111	SAS
NA21112	SAS
NA21115	SAS
NA21116	SAS
NA21117	SAS
NA21118	SAS
NA21119	SAS
NA21122	SAS
NA21123	SAS
NA21124	SAS
NA21125	SAS
NA21126	SAS
NA21127	SAS
NA21128	SAS
NA21129	SAS
NA21130	SAS
NA21131	SAS
NA21132	SAS
NA21133	SAS
NA21135	SAS
NA21137	SAS
NA21141	SAS
NA21142	SAS
NA21143	SAS
NA21144	SAS
NA21145	SAS
NA21148	SAS
NA21150	SAS
NA21151	SAS
NA21152	SAS
NA21153	SAS
NA21154	SAS
NA21155	SAS
NA21156	SAS
NA21157	SAS
NA21159	SAS
NA21160	SAS
NA21161	SAS
NA21163	SAS
NA21164	SAS
NA21165	SAS
NA21166	SAS
NA21167	SAS
NA21168	SAS
NA21169	SAS
NA21170	SAS
NA21171	SAS
NA21172	SAS
NA21173	SAS
NA21174	SAS
NA21175	SAS
NA21176	SAS
NA21177	SAS
NA21178	SAS
NA21179	SAS
NA21180	SAS
NA21182	SAS
NA21183	SAS
NA21185	SAS
NA21186	SAS
NA21187	SAS
NA21188	SAS
NA21189	SAS
NA21190	SAS
NA21191	SAS
NA21192	SAS
NA21193	SAS
NA21194	SAS
NA21195	SAS
NA21196	SAS
NA21197	SAS
NA21198	SAS
NA21199	SAS
NA21200	SAS
NA21201	SAS
NA21202	SAS
NA21203	SAS
HG00551	AMR
HG00553	AMR
HG00554	AMR
HG00556	AMR
HG00557	AMR
HG00558	AMR
HG00559	AMR
HG00560	AMR
HG00561	AMR
HG00562	AMR
HG00563	AMR
HG00564	AMR
HG00565	AMR
HG00566	AMR
HG00567	AMR
HG00568	AMR
HG00569	AMR
HG00570	AMR
HG00571	AMR
HG00572	AMR
HG00573	AMR
HG00574	AMR
HG00575	AMR
HG00577	AMR
HG00578	AMR
HG00580	AMR
HG00581	AMR
HG00583	AMR
HG00584	AMR
HG00585	AMR
HG00587	AMR
HG00589	AMR
HG00590	AMR
HG00592	AMR
HG00593	AMR
HG00595	AMR
HG00596	AMR
HG00598	AMR
HG00599	AMR
HG00601	AMR
HG00602	AMR
HG00604	AMR
HG00605	AMR
HG00607	AMR
HG00608	AMR
HG00610	AMR
HG00611	AMR
HG00613	AMR
HG00614	AMR
HG00616	AMR
HG00617	AMR
HG00619	AMR
HG00620	AMR
HG00622	AMR
HG00623	AMR
HG00625	AMR
HG00626	AMR
HG00628	AMR
HG00629	AMR
HG00630	AMR
HG00631	AMR
HG00632	AMR
HG00633	AMR
HG00634	AMR
HG00635	AMR
HG00637	AMR
HG00638	AMR
HG00640	AMR
HG00641	AMR
HG00642	AMR
HG00643	AMR
HG00644	AMR
HG00645	AMR
HG00646	AMR
HG00648	AMR
HG00649	AMR
HG00650	AMR
HG00651	AMR
HG00653	AMR
HG00654	AMR
HG00656	AMR
HG00657	AMR
HG00659	AMR
HG00660	AMR
HG00662	AMR
HG00663	AMR
HG00665	AMR
HG00666	AMR
HG00667	AMR
HG00668	AMR
HG00669	AMR
HG00671	AMR
HG00672	AMR
HG00674	AMR
HG00675	AMR
HG00676	AMR
HG00677	AMR
HG00678	AMR
HG00679	AMR
HG00680	AMR
HG00681	AMR
HG00682	AMR
HG00683	AMR
HG00684	AMR
HG00685	AMR
HG00686	AMR
HG00689	AMR
HG00690	AMR
HG00692	AMR
HG00693	AMR
HG00694	AMR
HG00695	AMR
HG00696	AMR
HG00697	AMR
HG00699	AMR
HG00700	AMR
HG00702	AMR
HG00703	AMR
HG00704	AMR
HG00705	AMR
HG00706	AMR
HG00707	AMR
HG00708	AMR
HG00709	AMR
HG01101	AMR
HG01102	AMR
HG01104	AMR
HG01105	AMR
HG01107	AMR
HG01108	AMR
HG01109	AMR
HG01110	AMR
HG01111	AMR
HG01112	AMR
HG01113	AMR
HG01114	AMR
HG01124	AMR
HG01125	AMR
HG01126	AMR
HG01127	AMR
HG01128	AMR
HG01130	AMR
HG01131	AMR
HG01133	AMR
HG01134	AMR
HG01136	AMR
HG01137	AMR
HG01140	AMR
HG01148	AMR
HG01149	AMR
HG01167	AMR
HG01168	AMR
HG01170	AMR
HG01171	AMR
HG01173	AMR
HG01174	AMR
HG01176	AMR
HG01177	AMR
HG01179	AMR
HG01180	AMR
HG01182	AMR
HG01183	AMR
HG01185	AMR
HG01186	AMR
HG01187	AMR
HG01188	AMR
HG01189	AMR
HG01190	AMR
HG01191	AMR
HG01194	AMR
HG01197	AMR
HG01198	AMR
HG01204	AMR
HG01205	AMR
HG01241	AMR
HG01242	AMR
HG01250	AMR
HG01251	AMR
HG01256	AMR
HG01257	AMR
HG01259	AMR
HG01260	AMR
HG01269	AMR
HG01271	AMR
HG01272	AMR
HG01275	AMR
HG01277	AMR
HG01278	AMR
HG01280	AMR
HG01281	AMR
HG01284	AMR
HG01286	AMR
HG01288	AMR
HG01289	AMR
HG01290	AMR
HG01291	AMR
HG01292	AMR
HG01293	AMR
HG01294	AMR
HG01295	AMR
HG01296	AMR
HG01297	AMR
HG01298	AMR
HG01299	AMR
HG01300	AMR
HG01301	AMR
HG01302	AMR
HG01303	AMR
HG01304	AMR
HG01305	AMR
HG01307	AMR
HG01308	AMR
HG01309	AMR
HG01311	AMR
HG01312	AMR
HG01314	AMR
HG01315	AMR
HG01316	AMR
HG01319	AMR
HG01320	AMR
HG01321	AMR
HG01322	AMR
HG01323	AMR
HG01324	AMR
HG01325	AMR
HG01326	AMR
HG01328	AMR
HG01329	AMR
HG01330	AMR
HG01331	AMR
HG01332	AMR
HG01333	AMR
HG01334	AMR
HG01335	AMR
HG01336	AMR
HG01337	AMR
HG01338	AMR
HG01341	AMR
HG01342	AMR
HG01344	AMR
HG01345	AMR
HG01346	AMR
HG01347	AMR
HG01348	AMR
HG01349	AMR
HG01350	AMR
HG01351	AMR
HG01352	AMR
HG01353	AMR
HG01354	AMR
HG01356	AMR
HG01357	AMR
HG01359	AMR
HG01360	AMR
HG01361	AMR
HG01362	AMR
HG01363	AMR
HG01364	AMR
HG01365	AMR
HG01366	AMR
HG01374	AMR
HG01375	AMR
HG01376	AMR
HG01377	AMR
HG01378	AMR
HG01379	AMR
HG01383	AMR
HG01384	AMR
HG01389	AMR
HG01390	AMR
HG01391	AMR
HG01392	AMR
HG01393	AMR
HG01394	AMR
HG01395	AMR
HG01396	AMR
HG01402	AMR
HG01403	AMR
HG01404	AMR
HG01405	AMR
HG01406	AMR
HG01407	AMR
HG01408	AMR
HG01409	AMR
HG01418	AMR
HG01419	AMR
HG01420	AMR
HG01421	AMR
HG01422	AMR
HG01423	AMR
HG01424	AMR
HG01425	AMR
HG01426	AMR
HG01427	AMR
HG01428	AMR
HG01429	AMR
HG01431	AMR
HG01432	AMR
HG01433	AMR
HG01436	AMR
HG01437	AMR
HG01438	AMR
HG01440	AMR
HG01441	AMR
HG01442	AMR
HG01443	AMR
HG01444	AMR
HG01445	AMR
HG01447	AMR
HG01448	AMR
HG01449	AMR
HG01451	AMR
HG01452	AMR
HG01453	AMR
HG01455	AMR
HG01456	AMR
HG01457	AMR
HG01461	AMR
HG01462	AMR
HG01463	AMR
HG01465	AMR
HG01466	AMR
HG01468	AMR
HG01469	AMR
HG01471	AMR
HG01472	AMR
HG01474	AMR
HG01475	AMR
HG01479	AMR
HG01480	AMR
HG01485	AMR
HG01486	AMR
HG01488	AMR
HG01489	AMR
HG01491	AMR
HG01492	AMR
HG01494	AMR
HG01495	AMR
HG01497	AMR
HG01498	AMR
HG01500	AMR
HG01501	AMR
HG01503	AMR
HG01504	AMR
HG01506	AMR
HG01507	AMR
HG01509	AMR
HG02461	AFR
HG02462	AFR
HG02464	AFR
HG02465	AFR
HG02466	AFR
HG02467	AFR
HG02468	AFR
HG02469	AFR
HG02470	AFR
HG02471	AFR
HG02472	AFR
HG02473	AFR
HG02474	AFR
HG02475	AFR
HG02476	AFR
HG02477	AFR
HG02478	AFR
HG02479	AFR
HG02480	AFR
HG02481	AFR
HG02482	AFR
HG02483	AFR
HG02484	AFR
HG02485	AFR
HG02486	AFR
HG02487	AFR
HG02488	AFR
HG02489	AFR
HG02490	AFR
HG02491	AFR
HG02492	AFR
HG02493	AFR
HG02494	AFR
HG02495	AFR
HG02496	AFR
HG02497	AFR
HG02498	AFR
HG02499	AFR
HG02500	AFR
HG02501	AFR
HG02502	AFR
HG02503	AFR
HG02504	AFR
HG02505	AFR
HG02506	AFR
HG02507	AFR
HG02508	AFR
HG02509	AFR
HG02510	AFR
HG02511	AFR
HG02512	AFR
HG02513	AFR
HG02514	AFR
HG02515	AFR
HG02516	AFR
HG02517	AFR
HG02518	AFR
HG02519	AFR
HG02520	AFR
HG02521	AFR
HG02522	AFR
HG02523	AFR
HG02524	AFR
HG02525	AFR
HG02526	AFR
HG02527	AFR
HG02528	AFR
HG02529	AFR
HG02530	AFR
HG02531	AFR
HG02532	AFR
HG02533	AFR
HG02534	AFR
HG02535	AFR
HG02536	AFR
HG02537	AFR
HG02538	AFR
HG02539	AFR
HG02540	AFR
HG02541	AFR
HG02542	AFR
HG02543	AFR
HG02544	AFR
HG02545	AFR
HG02546	AFR
HG02547	AFR
HG02548	AFR
HG02549	AFR
HG02550	AFR
HG02552	AFR
HG02553	AFR
HG02554	AFR
HG02555	AFR
HG02556	AFR
HG02557	AFR
HG02558	AFR
HG02559	AFR
HG02560	AFR
HG02561	AFR
HG02562	AFR
HG02563	AFR
HG02564	AFR
HG02565	AFR
HG02566	AFR
HG02567	AFR
HG02568	AFR
HG02569	AFR
HG02570	AFR
HG02571	AFR
HG02572	AFR
HG02573	AFR
HG02574	AFR
HG02575	AFR
HG02576	AFR
HG02577	AFR
HG02578	AFR
HG02579	AFR
HG02580	AFR
HG02581	AFR
HG02582	AFR
HG02583	AFR
HG02584	AFR
HG02585	AFR
HG02586	AFR
HG02587	AFR
HG02588	AFR
HG02589	AFR
HG02590	AFR
HG02591	AFR
HG02592	AFR
HG02593	AFR
HG02594	AFR
HG02595	AFR
NA18486	AFR
NA18487	AFR
NA18488	AFR
NA18489	AFR
NA18490	AFR
NA18491	AFR
NA18492	AFR
NA18493	AFR
NA18494	AFR
NA18495	AFR
NA18496	AFR
NA18497	AFR
NA18498	AFR
NA18499	AFR
NA18500	AFR
NA18501	AFR
NA18502	AFR
NA18503	AFR
NA18504	AFR
NA18505	AFR
NA18506	AFR
NA18507	AFR
NA18508	AFR
NA18510	AFR
NA18511	AFR
NA18512	AFR
NA18513	AFR
NA18514	AFR
NA18515	AFR
NA18516	AFR
NA18517	AFR
NA18518	AFR
NA18519	AFR
NA18520	AFR
NA18522	AFR
NA18523	AFR
NA18524	AFR
NA18525	AFR
NA18526	AFR
NA18527	AFR
NA18528	AFR
NA18530	AFR
NA18531	AFR
NA18532	AFR
NA18533	AFR
NA18534	AFR
NA18535	AFR
NA18536	AFR
NA18537	AFR
NA18538	AFR
NA18539	AFR
NA18540	AFR
NA18541	AFR
NA18542	AFR
NA18543	AFR
NA18544	AFR
NA18545	AFR
NA18546	AFR
NA18547	AFR
NA18548	AFR
NA18549	AFR
NA18550	AFR
NA18552	AFR
NA18553	AFR
NA18555	AFR
NA18557	AFR
NA18558	AFR
NA18559	AFR
NA18560	AFR
NA18561	AFR
NA18562	AFR
NA18563	AFR
NA18564	AFR
NA18565	AFR
NA18566	AFR
NA18567	AFR
NA18568	AFR
NA18569	AFR
NA18570	AFR
NA18571	AFR
NA18572	AFR
NA18573	AFR
NA18574	AFR
NA18575	AFR
NA18576	AFR
NA18577	AFR
NA18578	AFR
NA18579	AFR
NA18580	AFR
NA18582	AFR
NA18591	AFR
NA18592	AFR
NA18593	AFR
NA18594	AFR
NA18595	AFR
NA18596	AFR
NA18597	AFR
NA18598	AFR
NA18599	AFR
NA18600	AFR
NA18601	AFR
NA18602	AFR
NA18603	AFR
NA18605	AFR
NA18606	AFR
NA18607	AFR
NA18608	AFR
NA18609	AFR
NA18610	AFR
NA18611	AFR
NA18612	AFR
NA18613	AFR
NA18614	AFR
NA18615	AFR
NA18616	AFR
NA18617	AFR
NA18618	AFR
NA18619	AFR
NA18620	AFR
NA18621	AFR
NA18622	AFR
NA18623	AFR
NA18624	AFR
NA18625	AFR
NA18626	AFR
NA18627	AFR
NA18628	AFR
NA18629	AFR
NA18630	AFR
NA18631	AFR
NA18632	AFR
NA18633	AFR
NA18634	AFR
NA18635	AFR
NA18636	AFR
NA18637	AFR
NA18638	AFR
NA18639	AFR
NA18640	AFR
NA18641	AFR
NA18642	AFR
NA18643	AFR
NA18644	AFR
NA18645	AFR
NA18646	AFR
NA18647	AFR
NA18648	AFR
NA18649	AFR
NA18650	AFR
NA18651	AFR
NA18652	AFR
NA18653	AFR
NA18654	AFR
NA18655	AFR
NA18656	AFR
NA18657	AFR
NA18658	AFR
NA18659	AFR
NA18660	AFR
NA18661	AFR
NA18662	AFR
NA18663	AFR
NA18664	AFR
NA18665	AFR
NA18666	AFR
NA18667	AFR
NA18668	AFR
NA18669	AFR
NA18670	AFR
NA18671	AFR
NA18672	AFR
NA18673	AFR
NA18674	AFR
NA18675	AFR
NA18676	AFR
NA18677	AFR
